index,player,tweet,score
385,Jeff Okudah,"I believe if Matt Patricia can deploy Jeff Okudah as the one on one, follow the #1 receiver type cornerback, it will unlock the rest of Patricia's blitz packages and improve on a 29th ranked (19%) QB pressure rate



  ",-1
386,Derek Stingley,"Trending:  draft board revealed (via  &amp; ):

1/ Kayvon Thibodeaux 
2/ Evan Neal
3/ Aidan Hutchinson
4/ Garrett Wilson
5/ Sauce Gardner
6/ Derek Stingley
7/ Travon Walker
8/ Kyle Hamilton
9/ Ikem Ekwonu
10/ Drake Londo",-1
387,Andre Dillard,"Following the arrival of  first-round pick Andre Dillard, Big V has nothing to lose with a position switch.

It’s time to see what he can do at guard.

",-1
388,Ja'Marr Chase,Jags franchise on his back. But yeah Ja’Marr Chase has too much pressure. Give me a brea,-1
389,Montez Sweat,The Rookie Scouting Portfolio (RSP)RSP’s Mr. Jackson: Washington DE Montez Sweat…Julius Peppers Redux?  ,-1
390,Jaylen Waddle,  Finally one person said it. He also threw the ball to JAYLEN WADDLE AND DEVONTA SMITH!!!! And had Najee Harris as his RB!!! Who wouldn’t succeed???,-1
391,Justin Herbert,"Justin Herbert told me he likes Nike sneakers. He wore a pair of Air Jordan Tinker 3 sneakers to Pac-12 Media Day last summer. 

Still, Herbert's current ""no-deal"" with Nike is a curious one.

",-1
392,Jermaine Johnson," Other, Jermaine Johnso",-1
393,AJ Terrell, ...Probably in the AJ Terrell/Damon Arnette ballpark of Round 1.,-1
394,Charles Cross,"""I don't know if we've ever drafted a guy that is as well-equipped as [Charles Cross].""

- Seahawks HC  with  

Listen live: 93.3 FM and ",-1
395,Josh Jacobs,Josh Jacobs right there like 🌚 ,-1
396,Kenneth Murray,Los Angeles Chargers 2020 NFL Draft picks.  Congrats to Oklahoma's  Kenneth Murray ,-1
397,Payton Turner,  I just do not see what you see in Payton Turner. I’ve tried watching too. I just don’t see it,-1
398,Kaiir Elam, There was an Athletic article decoding the Cowboys' draft grades and they had Gordon as their 24th best prospect overall — higher than Trent McDuffie and Kaiir Elam,-1
399,Jamin Davis, This was my problem Jamin Davis was the better athlete with better and more taps in coverage so I just never understood why Davis was considered so much lower than Micah,-1
400,Lewis Cine,"Mi última (y más extensa) reflexión:

No draftearon al mejor jugador disponible de su board. A pesar de tener a Lewis Cine, un jugador que ellos veían con talento de primera ronda, decidieron ir por el producto de los Golden Hurricanes. 

“BPA within your needs” ",-1
401,Jordyn Brooks,  Jordyn Brooks😹,-1
402,Daniel Jones, Hey. There just isnt that many Daniel Jones out there to be plucked up by a smart team. Most just go by the consensus of what all the evaluators say. And you end up with a solid 1/2 draft of Winston/Mariota.,-1
403,Trevor Penning,Trevor Penning watching on the sidelines knowing damn well he don’t want NONE of that 😂 ,-1
404,Andre Dillard,"So to recap, from a salary cap perspective the Raiders chose:

Tyrell Williams, LaMarcus Joyner and Trent Brown

Over

Khalil Mack, Earl Thomas, DK Metcalf and Andre dillard ",-1
405,Josh Jacobs,"Dynasty Fantasy Football Rookie Update: Josh Jacobs, RB OAK  via Dynasty League Football ",-1
406,Clelin Ferrell,Dwayne Haskins and Quinnen Williams. Don’t be surprised if Clelin Ferrell does though ,-1
407,Tyler Smith,"2022  
- Most Underrated: Jayron Kearse
-Best player: Micah Parsons
-Could be a Surprise: Tyler Smith
-Takes a leap: Kelvin Joseph
-Make or break: Leighton Vander Esch",-1
408,Caleb Farley,Trevor gives the Titans a C for their craft but didn’t love much after Caleb Farley. ,-1
409,Jeff Gladney,jeff_gladney_12 congrats on your first round pick!! Welcome to the vikings family! Nice enhancement to our defense! #2020draft     #20      … ,-1
410,Josh Jacobs,Josh Jacobs punching the air right now smh ,-1
411,Jermaine Johnson,@_dandesp “Carl Lawson says he doesn’t care about Jermaine Johnson”-Rich Cimini Probably-,-1
412,Quinnen Williams,Recent trends say Jets' first-round pick Quinnen Williams will be a star ,-1
413,Tua Tagovailoa,I am ordering  me 2 tua tagovailoa  t shirts from lids online store 1 blue 1 orange i might order the white t shirt a week after next next week I order the blue t shirt,-1
414,Travis Etienne,"Sneak Peak at my upcoming 
🔥ROOKIE DRAFT CHEAT SHEET 🔥
for  ⭕️

If you’re fading Travis Etienne I strongly urge you to not do that. 

(Data and imagery courtesy of ) ",-1
415,Garrett Wilson,"  yo!--I ended up with London, Garrett Wilson, Jalen Tolbert, and Spiller; traded up 2 slots to get Wilson without giving up too much",-1
416,Rashan Gary,"So about that SHOULDER...
Packers notes: Rashan Gary talks wearing Clay Matthews' No. 52, shoulder harness  via ",-1
417,CeeDee Lamb,The Eagles prevented the Cowboys from drafting CeeDee Lamb ,-1
418,Greg Newsome II, Greg Newsome II,-1
419,Chris Olave,"Ryan Day said it was “emotional” to see Garrett Wilson and Chris Olave being taken 10th and 11th overall, respectively, in the 2022 NFL draft.

“To watch them go back to back like that is emotional.”",-1
420,Henry Ruggs III,"Henry Ruggs III 1000+ receiving yds? 7 TD? In rookie season? Yes, most definitely! Without a question! I think he will open up our offense. He had 98 catches at Alabama. 24 of them went for a TD. 25% of the time when he caught the ball he took it the house. Very explosive!",-1
421,Jordan Love,     Buying a Jordan Love Jersey now has a 50% chance of looking like anyone walking around in a hassleback Packers Jersey.,-1
422,Lewis Cine,Why Lewis Cine gives outstanding rookie vibes for the Vikings ,-1
423,Najee Harris,  He just went to the Steelers. Najee Harris,-1
424,Patrick Queen,"    As big an upgrade Campbell is for the Ravens, I think Yanda is as big a loss. I think adding Buckner, Rivers and extending Castanzo are a bigger sum total. I like both teams drafts. Maybe a slight tip towards the Ravens, as I think Patrick Queen is the best pick by either team.",-1
425,Tytus Howard,New  from  —  McClain's Mailbag: Is Texans' Tytus Howard the next Duane Brown? ,-1
426,Jordyn Brooks," Jordyn Brooks foi first rounder lero, lero, lero",-1
427,Chris Olave," New Orleans Saints Offense

QB: Jameis | Dalton
RB: Kamara / Ingram / Tony Jones / D Wash

LT: Trevor Penning | J Hurst / L Young
LG: Peat
C: McCoy
RG: Ruiz
RT: Ramczyk
Y-TE: Trautman
F-TE: J Johnson / Taysom

X: Michael Thomas
Z: Chris Olave
Slot: M Callaway / Tre’Quan / D Harty",-1
428,Drake London,"How does Drake London fit with the Falcons and Arthur Smith's offense?  &amp;  discuss on today's program.

 //  

Follow, Rate, Review⤵️
Apple🍎: 
Spotify 🟢:  ",-1
429,Damon Arnette, 2020: Damon Arnette- Ohio State,-1
430,Jaycee Horn," Micah parsons, Zach Wilson , devonta smith Kyle pitts, kwitty paye, Jaycee horn! Just a good hunch",-1
431,AJ Terrell,  Exactly. The only way we'll know is let them play. Aj Terrell only had one or 2 bad games. Oliver was straight after he started. We got rid of the old heads and got youth. Time to build a franchise,-1
432,Chris Lindstrom,"Flacons draft picks: 
RD 1 PICK 14 CHRIS LINDSTROM OL
RD 4 PICK 34 KALEB MCGARY OL
RD 4 PICK 111 KENDALL SHEFFIELD CB
RD 4 PICK 135 JOHN COMINSKY DE
RD 5 PICK 152 QADREE OLLISON RB
RD 5 PICK 172 JORDAN MILLER CB
RD 6 PICK 283 MARCUS GREEN RB",-1
433,Austin Jackson,"Austin Jackson likes to mix it up at times. 

 ",-1
434,Zaven Collins, zaven collins a beast?,-1
435,Dwayne Haskins, Dwayne Haskins laughs his way to the ba,-1
436,Drake London,"   That QB is the reason people keep saying Drake London can’t separate, watch the tape, nothing but ducks being thrown that’s why he led the ncaa in contested catches",-1
437,Justin Fields,Justin fields looked pissed he dropped to 11 lmao,-1
438,Eric Stokes,Baby Eric Stokes. It was 100% meant to be ,-1
439,Garrett Bradbury,North Carolina State C Garrett Bradbury (#65) vs. Florida State (11/03/18).  ,-1
440,Kyler Murray,Agree with Dwayne Haskins ranking behind Kyler Murray and Drew Lock for brightest future out of the 2019 QB Rookie Class? ,-1
441,K'Lavon Chaisson, Ceiling/floor for CJ Henderson and K’Lavon Chaisson? Love !,-1
442,C.J. Henderson,"Grade the Jaguars 2020 Draft!
Rd1 -C.J. Henderson
Rd1- K'Lavon Chaisson
Rd2- Laviska Shenault
Rd3 -DaVon Hamilton
Rd4 -Ben Bartch 
Rd4 -Josiah Scott   
Rd4 -Shaq Quarterman   
Rd5 -Daniel Thomas 
Rd5 -Collin Johnson   
Rd6 -Jake Luton 
Rd6 -Tyler Davis   
Rd7- Chris Claybrooks",-1
443,Isaiah Simmons,Who is your favorite rookie in the class that’s not a Dolphin??? Or a player that you wanted to be a Dolphin??? Mine was either Isaiah Simmons or Jalen Hurts even though I like the Tua pick💪🏼   #2020NFLDraft,-1
444,Trey Lance,    If Fields doesn’t take over the starting job until 2022 I’ll say his 2nd full season 2023. The same with Trey Lance in SF.,-1
445,Zaven Collins,"2021 Defensive Rookie of the Year Odds look like this. ⤵️

Micah Parsons +400
Jamin Davis +700
Jaelan Phillips +750
Kwity Paye +1000
Jaycee Horn +1000
Patrick Surtain II +1100
Zaven Collins +1200
Jeremiah Owusu-Koramoah +1200
Jayson Oweh +1600
Gregory Rousseau +1800",-1
446,Drake London,"CT Podcast (5/6) starring , , &amp;  is now live!

- All things college basketball
- UNC adding G.G. Jackson
-  add Drake London
- State of the Cubs, White Sox, and MLB's offense problem

DL + Listen ----&gt;  ",-1
447,Patrick Surtain II,"My too early NFL predictions

MVP: Patrick Mahomes
OPOY: Kyler Murray
DPOY: TJ Watt
OROY: Trey Lance 
DROY: Patrick Surtain II
CPOY: Von Miller or Saquon  
COY: Kyle Shanahan

What do you guys think?",-1
448,Tytus Howard,New  from Texas Sports Nation — McClain's Mailbag: Is Texans' Tytus Howard the next Duane Brown? ,-1
449,Rashod Bateman,If Rashod Bateman gets a single illegal formation penalty I want Greg Roman immediately fired ,-1
450,L.J. Collier," rookie jersey numbers:
9️⃣5️⃣ - DE L.J. Collier
2️⃣7️⃣ - SS Marquise Blair
1️⃣4️⃣ - WR D.K. Metcalf
5️⃣7️⃣ - LB Cody Barton
1️⃣1️⃣ - WR Gary Jennings
6️⃣0️⃣ - G Phil Haynes
2️⃣8️⃣ - FS Ugo Amadi
5️⃣5️⃣ - LB Ben Burr-Kirven (1/2)",-1
451,Brandon Aiyuk,"Brandon Aiyuk is excited to be joining what he has long viewed as a ""fun"" and ""close"" group of 49ers receivers 😎 (via )

 ",-1
452,Micah Parsons," Champs at the Capitol, Harrisburg, PA.  That was awesome!!! 

PA still turns out some awesome athletes! 

Congrats to my alma mater, Steel-High Steamrollers and to Micah Parsons! 

🏈🏈🏈🏈",-1
453,Kenyon Green,  people dislike the kenyon green pick????,-1
454,Kayvon Thibodeaux,Didn't we just draft Kayvon Thibodeaux and Evan Neal? Like what are we complaining about Giants twitter?!,-1
455,Austin Jackson,"Austin Jackson's character and commitment can make him a success at Left Tackle for the . Thanks to Alicia de Artola from  for providing some deeper insight into the Dolphins' newest tackle!  
",-1
456,Isaiah Simmons,"Olathe North grad Isaiah Simmons, the Cardinals linebacker, donates meals in Arizona ",-1
457,Quay Walker,really went from blake martinez and jake ryan to an all pro in de’vondre and quay walker 😌 ,-1
458,Tristan Wirfs,"DMRegister: RT codygoodwin: Surely you all have seen that picture of Tristan Wirfs towering over Aaron Costello on the wrestling mat, right?

This is the story of that match (AaronCostello5 won), and how wrestling and sports brought the two big guys toge… ",-1
459,Zach Wilson,"Career predictions for Zach Wilson by  on  360, including: win over the Bills in year one, three playoffs by age 28, and surpassing Joe Namath as the Jets’ leading passer en route to a Super Bowl appearance by age 35. 👀 🔮 🧐 ",-1
460,Jermaine Johnson,  Now if Jermaine Johnson was somehow available at 45 and we took Ojabo over him then yea that would’ve been crazy but it was either Linderbaum or JJ,-1
461,Jerry Tillery,"Chargers 1st round draft pick, DT Jerry Tillery joins Doug Gottlieb on the Doug Gottlieb Show ",-1
462,Chris Lindstrom,"Chris Lindstrom, Kaleb McGary pick Falcons jersey numbers ",-1
463,Trevor Penning,"Evan Neal
Charles Cross
Garrett Wilson
Chris Olave
Jameson Williams
Jordan Davis
Kenyon Green
Jahan Dotson
Treylon Burks
Trevor Penning
Trent McDuffie
Quay Walker
Kaiir Elam
Tyler Linderbaum
Jermaine Johnson
Devin Lloyd
Cole Strange
Lewis Cine

They have what in common?",-1
464,Marquise Brown,"Trade Update:
Marquise Brown
Miles Boykin
Jalen Hurd
Diontae Johnson 

for

Cooper Kupp",-1
465,Jaelan Phillips, Jaelan Phillips 🐬🐬,-1
466,Trent McDuffie,Hot Take: Trent McDuffie ,-1
467,Jordan Davis,I need that Boston Scott and Jordan Davis side by side bruh lmao ,-1
468,T.J. Hockenson,"2019 Prospect Grades According To The NFL’s Official Website: 

1. Quinnen Williams 6.70
2. Jeffrey Simmons 6.67
3. Josh Allen 6.66
4. Nick Bosa 6.55
5. T.J. Hockenson 6.35

Saquon Barkley in 2018: 7.45 

 ",-1
469,Kyle Hamilton,Kyle Hamilton in a Ravens uniform just feels right,-1
470,Devonte Wyatt,"2022   
Most underrated: Adrian Amos
Best player: Aaron Rodgers
Key new addition: Devonte Wyatt
Could surprise: Kylin Hill
Takes a leap: Allen Lazard
Make or break year: Josiah Deguara ",-1
471,Devin White,"Week 2 - Giant Rookies Shine in Jets Defeat. Daniel Jones comes up big for the Giants and Defense RULES in a shutout victor vs the Jets.  
Daniel Jones  2 TD's
Ono Coles - 1 TD
Devin White 1  INT ",-1
472,Trent McDuffie, Trent Mcduffie..,-1
473,Trevor Penning,@_EvilEmpire215_    Trevor penning was the 5th LT taken on draft night. By no means a guaranteed hit. Like I said the saints aren't terrible but the Eagles are better. Just accept what's reality,-1
474,Kenyon Green,"Texans 1st round pick Kenyon Green joined the guys of The Killer B's:  &amp;  in studio today!

Why didn't he want to pick a favorite NFL team and more! ",-1
475,Trey Lance,"During their deep dive on Trey Lance, the 49ers closely studied complex pro-style verbiage that North Dakota State’s offenses uses. It’s unique for CFB. Lance mastered it.

My convo with NDSU’s Randy Hedberg illuminated a critical part of the process: 

 ",-1
476,Andre Dillard,"   Andre Dillard uno de los mejores tackles del draft, plan de sucesion para Jason Peters. Miles Sanders, uno de mis RBs del draft, y Arciega Whiteside objetivo lado opuesto a Jeffery. Me gusto bastante el draft.",-1
477,Ed Oliver, WEEKEND Score BIG with Mindy  all weekend. Auto entry for Ed Oliver  jersey. get your entries  ,-1
478,N'Keal Harry,  N’Keal Harry?,-1
479,Mekhi Becton,Mekhi Becton looks like he’s going against one of those robot tackling dummies  ,-1
480,Kyle Pitts,Wasn’t Kyle Pitts. ,-1
481,Jonah Williams,"    Not one BAMA fan wanted Q, Jonah Williams or Josh Jacobs to stay another year for selfish reasons. We all knew they would go high in the Draft. We loved it.  But Wilson, Savion Smith we all knew needed to improve more before declaring for Draft. Thompson was just unfortunate",-1
482,Lewis Cine,Georgia Bulldogs star safety Lewis Cine was thrilled when the Minnesota Vikings drafted him.  ,-1
483,Tua Tagovailoa,"Representing the top team in all of the CNA at the break, ’s Colorado Chicken Tenders, we have Jonathan Huberdeau, Fake Name, Brian Anderson, Tua Tagovailoa, Sasha Barkov, and Mediocre Pitcher!",-1
484,Tyler Smith,"Zeke has a message about  draft pick Tyler Smith.    @ San Diego, California ",-1
485,Jedrick Wills Jr., disaster to elite? Browns hoping Jedrick Wills Jr. solves LT problem - Cleveland Browns Blog now trending on Monkey Viral -  ,-1
486,Ed Oliver, WEEKEND  Score BIG with Mindy  all weekend. Auto entry for Ed Oliver  jersey. get your entries  ,-1
487,Derrick Brown,"Derrick Brown featured on ESPN’s ‘Hey, Rookie’ series on Monday ",-1
488,Zach Wilson,"I got my first share of Zach Wilson.

1 QB league pick 3.6

He will be backing up my starter Patrick Mahomes whom I also drafted in the 3rd round of a rookie draft.
 ",-1
489,Devonte Wyatt,"Quay Walker pick : C+
Devonte Wyatt pick : A+ ",-1
490,Jaelan Phillips," Unfortunately they'll give it to whatever rookie QB breaks the passing record without acknowledging the fact that it happens so often it's kinda meaningless and there's an extra game...... but yeah, I'm betting the farm on Jaelan Phillips for DROY",-1
491,Treylon Burks, Treylon Burks ,-1
492,Cole Strange,"Los Angeles Rams
Two things were abundantly clear regarding the Rams and this draft.

“I take it they like Cole Strange, and I take it they had a lot of drinks stocked up in that Rocket Mortgage Draft House,” an exec said. “I mean, shoot, it looked like one big ‘eff them picks’",-1
493,Austin Jackson,"Several former four-stars went in the first round of the NFL Draft, including USC's Austin Jackson.

 and  take a look at the 10 highest-drafted four-stars: 

 ",-1
494,Justin Fields, I felt this way about Justin Fields.,-1
495,Micah Parsons," re Micah Parsons choosing #11, remember that former aggie RB Jorvorskie Lane wore #11 at A&amp;M. Not quite as weird because he was an RB not LB, but still looked weird on such a big guy. But at least vertical stripes have a slimming effect. ",-1
496,Zion Johnson,"They really didn’t though if their board we deciphered is legit… 

They had Tyler Smith ranked ahead of both Kenyon Green, Zion Johnson, and Trevor Penning.

That’s the bigger issue for the long haul imo… ",-1
497,CeeDee Lamb,"Michael Irvin says CeeDee Lamb pick 'damages' Dez Bryant's chances of returning to the Cowboys:

",-1
498,Jalen Reagor, Jalen Reagor,-1
499,Gregory Rousseau," Gregory Rousseau Auto - $25 shipped bmwt
1st round draft pick  ",-1
500,Daniel Jones, I bet Daniel Jones would love to have O,-1
501,Javon Kinlaw,Breaking down Javon Kinlaw in five plays  ,-1
502,Tua Tagovailoa,"Prospecto estrella Tua Tagovailoa dio a conocer el número que utilizará en los Dolphins. Leer Mas -&gt; 
",-1
503,Travis Etienne,"  He would’ve been after CEH, Swift, JT, Dobbins, and Akers last year. 

And I disagree tbh. I think he’s the best prospect since Travis Etienne",-1
504,Damon Arnette,"Jon Gruden compares  rookie Damon Arnette to Aqib Talib.  

",-1
505,Zion Johnson,"📣 New Podcast! ""S02 Ep. 15 Zion Johnson, JT Woods and Isaiah Spiller Draft Picks"" on       ",-1
506,Payton Turner, Saints drafting Payton turner instead of Rousseau,-1
507,Payton Turner,Both the Boy’s and Girls team played really well today. Payton Turner of the Girl’s team only missed out of advancing to State by a couple of strokes. The Boy’s team took Runner Up to ADVANCE TO THE STATE TOURNAMENT to be played this coming Monday at Egwani Farms! ,-1
508,Ja'Marr Chase,Bengals News (5/6): Ja’Marr Chase could answer several offensive issues  ,-1
509,Daniel Jones, @247Sports  U ever thought that Daniel Jones could be the best mental fit for a jungle like NYC???? I do...,-1
510,Lewis Cine,   Real fun fact. You know nothing about your team. This doesn’t include 4 ⭐️ Quay Walker James Cook Channing Tindall Devonta Wyatt Lewis Cine.  You are no longer allowed to speak in this conversation 😂😂😂 ,-1
511,K'Lavon Chaisson,"Based on K’Lavon Chaisson’s final four games at LSU, when he really turned it on, his junior year numbers likely would’ve looked something like: 15 sacks, 17 tackles for loss, 50 pressures, 60 tackles",-1
512,Ja'Marr Chase,  none of them Ja'Marr Chase's fit was hard ,-1
513,Isaiah Simmons,"""Simmons is the perfect playmaker to combat offenses that put their playmakers in space, and Shanahan is one of the best coaches at maximizing his players’ skill sets.""

Brandon Aiyuk vs Isaiah Simmons in the open field. 🎇🎇

",-1
514,Ikem Ekwonu,"How all the pieces fell into place. 

A deep look behind the scenes and through the year-long process that led the Panthers to Ikem Ekwonu and Matt Corral on draft weekend. 

",-1
515,Deandre Baker,(Deandre Baker wants to prove he's worth what Giants gave up - New York Post)    has been published on Review Journal -  ,-1
516,Jaycee Horn,"  But what if Jaycee Horn becomes a Jalen Ramsey? Besides QB the most valuable positions are LT, a pass rush DE, and a lockdown CB. If the Panthers and Broncos thought Jaycee and Surtain are lockdown CBs, I understand not going back. Especially when it's a need like the Panthers.",-1
517,Jerry Tillery,"We knew Jerry Tillery was the perfect fit for the Chargers, and Pro Football Focus thought so, too. ",-1
518,Jordyn Brooks,"Texas Tech head coach Matt Wells is the latest guest on the Talkin'  Podcast.

He provided a thorough scouting report of first-round pick Jordyn Brooks &amp; explained why he'll quickly become a fan favorite in the PNW.

Listen, review &amp; subscribe🙏:  ",-1
519,Penei Sewell,"Selected Penei Sewell, the highest rated tackle in the 2021 Draft.

Agreed to a four-year extension with Frank Ragnow, making him the highest-paid center in NFL.

A great seven days for the Detroit Lions offensive line.

 |  ",-1
520,Garrett Bradbury,"Garrett Bradbury- Future All-Pro
Irv Smith- Future Pro-Bowler
Alex Mattison- Best B/U RB in NFL
Dru Samia- Future Starter
Dillion Mitchell- WR3

Think Positive.

We got HUGE contributors from this class. SKOL!",-1
521,Josh Allen,"    Has to be the OL with such a turn around!! I also believe Josh Allen will show quite an improvement in 2019 with the likes of Cole Beasley &amp; hopefully Dawson Knox, this would help him with his midrange accuracy!!",-1
522,Justin Fields,Make sure to check out our latest Episode! It was Fun getting to break down Justin Fields! ,-1
523,Devonte Wyatt,Packers sign first-round pick Devonte Wyatt -  ,-1
524,Greg Newsome II,Greg Newsome II Draft Day  via ,-1
525,Henry Ruggs III,"¿Henry Ruggs III será una gran arma para Derek Carr? 🤔☠️

▪️ Fue la 12 selección general 
▪️ Corrió las 40 yds en menos de 4.30 segundos (apenas el 7mo WR en lograrlo desde 2003)
▪️ Promedio de yds después del pase: 10.5
▪️ 2,500+ yds por recepción en su carrera

ñol ",-1
526,Jermaine Johnson,"Which draft pick do you wish the  would have made in the 2022 NFL Draft?

Mine is Jermaine Johnson. 

",-1
527,Kwity Paye,"  Who was a higher need that was a better player on the board? Kwity Paye? Sorry, I’m not buying that",-1
528,Christian Wilkins,"Christian Wilkins has a great financial mindset. Have you tried his smart money-saving strategy?    
",-1
529,Noah Fant,"Noah Fant in a  uniform 🔥 

Predict his 2019 stats below ",-1
530,Andre Dillard,   With lane johnson and andre dillard maybe not ma,-1
531,Mac Jones, Mac Jones,-1
532,Rashawn Slater,   Two different OTs drafted before they picked? Rashawn Slater went to LAC at 13.  Teven Jenkins went 39th to Chicago.  They could have had either one.,-1
533,Jeffery Simmons," Head Coach Mike Vrabel gives an update on first round pick Jeffery Simmons' ACL injury.

""We're excited to get him in our building."" 

⬇️AUDIO⬇️ ",-1
534,Garrett Wilson, Nah drake London over Garrett Wilson is insane still bro💀,-1
535,Jeff Okudah,"Why CB Jeff Okudah in Detroit is a Perfect Fit 
",-1
536,Kenyon Green,"Jimbo Fisher on Kenyon Green, a Houston native and the 15th overall pick in the 2022 NFL Draft: ""The Houston Texans got them a great one. I think he's going to play here for a long time.""

""He was willing to be coached from the day that he got here.""",-1
537,Greg Newsome II,"For the 12th time since the AFL-NFL merger in 1970, three or more Northwestern players were drafted to the league. This year, it was offensive lineman Rashawn Slater, cornerback Greg Newsome II and defensive end Earnest Brown IV.",-1
538,Chris Lindstrom,"Does it matter that Chris Lindstrom &amp; Kaleb McGary weren’t widely given 1st round grades?

 discusses &amp; more that on today’s Q&amp;A podcast

",-1
539,Noah Fant," 4 

30. Green Bay-Nasir Adderley 
31.  L.A Rams-Chris Lindstrom 
32. New England-Noah Fant",-1
540,Kayvon Thibodeaux,"Giants draft pick #’s:
Evan Neal #70
Wan’Dale Robinson #17
Joshua Ezeudu #75
Car’Dale Flott #28
Daniel Bellinger #45
Dane Belton #36
Micah McFadden #43
DJ Davidson #98
Marcus McKethan #60
Darrian Beavers #41
Kayvon Thibodeaux $250,000 (he’s the only one without a number listed)",-1
541,Ed Oliver,"second best defense - Kyle Williams + Ed Oliver + E.J.Gaines + another,absolutely NO FAIR ",-1
542,Jaylen Waddle," 1. Slim reaper
2. Jerry jeudy
3. Jaylen waddle
4. Henry Ruggs",-1
543,Jordan Love,Jordan Love vs Marcus Mariota ,-1
544,Tua Tagovailoa,"Dan Marino’s #13 is safe. I guess by taking #1, Tua Tagovailoa is letting Fitz Magic know who’s the first string quarterback.    #2020NFLDraft  ",-1
545,Josh Allen," It’s ok, we’ll let the football players named sort this out. Never discount Josh Allen. It’s a Buffalo thing. Keep counting us out , know one thing our day is coming.   ",-1
546,Jeffery Simmons, Highlights of  DT Jeffery Simmons in action  via ,-1
547,Jeffery Simmons,"Little known fact about Jeffery Simmons, he can actually fly ",-1
548,CeeDee Lamb,"Jau, man muss sich nur mal das depth chart der Cowboys defense anschauen.

Bin gespannt, wie defenses eine offense verteidigen wollen, in der CeeDee Lamb WR3 ist.

Popcorn dot gif ",-1
549,Jordan Love, So ... 2018 Jordan Love?,-1
550,Justin Herbert,"  If Tyrod Taylor doesn’t perform early, Justin Herbert will see the field. Tyrod has the keys until he slips up. Once he slips up you guys have a chance to test out a promising young QB",-1
551,Patrick Queen,Remember when we didn’t draft Patrick Quee,-1
552,Travon Walker,Evan Neal vs Travon Walker film 😏 🏈 ,-1
553,Cesar Ruiz,"Quieren encarar una cuarentena inteligente sin buses, reconociendo abiertamente que solo el 50% de la flota funciona. Otra gentileza de César Ruiz Díaz para la gente.",-1
554,Rashod Bateman,At this point we can safely declare Rashod Bateman Bulletproof. ,-1
555,Kadarius Toney,"For example: KTC has the combination of Kadarius Toney, Jaylen Waddle, and Amari Rodgers as beating the value of Rashod Bateman by a Tee Higgins sized chasm.

I’ll take Bateman without a doubt.",-1
556,Rashawn Slater,"MVP: Justin Herbert
OPOY: Justin Herbert
DPOY: Derwin James Jr.
OROY: Rashawn Slater
DROY: Asante Samuel Jr.
CPOY: Derwin James Jr.
COY: Brandon Staley ",-1
557,Lewis Cine,Lewis Cine 😄 ,-1
558,Jordyn Brooks,The unique strength program that got Utah State's Jordan Love and Texas Tech's Jordyn Brooks into Round 1: ,-1
559,Isaiah Wilson,   While I’m happy overall. Just seems like RT Isaiah Wilson was their guy at 30 (went 29) and Igbo was supposed to be the pick at 39. Hope the undervalued trade we made from 26 to 30 for a 4th rd pick was worth it. Draft value suggests it should’ve been a 3rd. 🤷🏻‍♂️ oh well we got Tua,-1
560,Jerry Jeudy,Jerry Jeudy or Henry Ruggs III? Nick Saban says deciding is ‘a matter of personal preference’ ,-1
561,Jordyn Brooks,"Hope you’ll give a listen to the latest  podcast, where Seahawks legend  joined us to explain what he learned as a one-time (mostly) criticized  draft pick &amp; why he’s confident Jordyn Brooks will silence doubters too.

",-1
562,Zach Wilson,*Zach Wilson putting on Jets helmet with visor*,-1
563,Jonah Williams, Some fans tried to tell me that Hyatt was on the same level as Jonah Williams. I knew better,-1
564,DeVonta Smith,"Would anyone trade Josh Jacobs and 2.11 for Devonta smith or Bateman, 2.6 and mike Williams??? Dynasty SF league! ",-1
565,Kenny Pickett,"  We Kenny pickett to be as good as these young qbs like burrow, Allen, Herbert, Lamar, hurt, Murray to even compete",-1
566,Jaylen Waddle,3 Christian Wilkins and a Jaylen Waddle. Might need a bigger car. ,-1
567,Odafe Oweh, *Odafe oweh,-1
568,Daniel Jones,  Are these dimes from Daniel Jones??,-1
569,Zion Johnson,"Although he’s really good at football, I am even more pumped about the type of PERSON the  drafted No. 1. Zion Johnson is a man of God, very intelligent, and he GOLFS! I would be the happiest fan in the world to go golf with him and Herbert. Top notch for years to come👌🏻",-1
570,Garrett Wilson, my Garrett Wilson push failed so it doesn’t work i fear,-1
571,Austin Jackson, I understand they got Tua but phew taking Austin Jackson at 18 was a bit of a head scratcher,-1
572,Derek Stingley, Derek Stingley is in the draft clss,-1
573,Devonte Wyatt,"Go behind the scenes of what went on in this year's  draft.

SR gives details on why Tampa Bay picked Logan Hall Devonte Wyatt, how come they didn't want to trade up for TE Trey McBride and plenty more!

Read the latest Fab 5!

",-1
574,Noah Igbinoghene, 1st rd pick CB Noah Igbinoghene parents were Olympians in  and he is the first in the family to be raised in the United States and wants to make the culture and country proud to honor is name.     ,-1
575,Zaven Collins,Zaven Collins was asked what is his favorite ice cream. He said Blue Bell homemade vanilla with chocolate syrup. Can the boy get anymore country 😂💀,-1
576,Joe Burrow,"Joe Burrow, baby! Wellness Wednesday  This is for you  &amp;    ",-1
577,C.J. Henderson,"Newly drafted C.J. Henderson didn't take long to address the situation he was stepping into and the player he is not-so-subtly replacing, noting that he will not be donning the same number as Ramsey. ",-1
578,Christian Wilkins,christian wilkins is just a heavier larry csonka tbh ,-1
